UniProt_AC,InterPro_ID,InterPro_Name,Signature_ID,Start,End
A0AVF1,IPR011990,Tetratricopeptide-like helical domain superfamily,G3DSA:1.25.40.10,29,152
A0AVF1,IPR011990,Tetratricopeptide-like helical domain superfamily,G3DSA:1.25.40.10,153,269
A0AVF1,IPR011990,Tetratricopeptide-like helical domain superfamily,G3DSA:1.25.40.10,273,530
A0AVF1,IPR011990,Tetratricopeptide-like helical domain superfamily,SSF48452,61,229
A0AVF1,IPR011990,Tetratricopeptide-like helical domain superfamily,SSF48452,363,494
A0AVF1,IPR019734,Tetratricopeptide repeat,SM00028,57,90
A0AVF1,IPR019734,Tetratricopeptide repeat,SM00028,91,124
A0AVF1,IPR019734,Tetratricopeptide repeat,SM00028,151,184
A0AVF1,IPR019734,Tetratricopeptide repeat,SM00028,230,263
A0AVF1,IPR019734,Tetratricopeptide repeat,SM00028,461,494
A0JP26,IPR002110,Ankyrin repeat,PF12796,143,236
A0JP26,IPR002110,Ankyrin repeat,PF12796,243,335
A0JP26,IPR002110,Ankyrin repeat,PR01415,173,188
A0JP26,IPR002110,Ankyrin repeat,PR01415,221,235
A0JP26,IPR002110,Ankyrin repeat,PS50088,172,204
A0JP26,IPR002110,Ankyrin repeat,PS50088,205,237
A0JP26,IPR002110,Ankyrin repeat,PS50088,238,270
A0JP26,IPR002110,Ankyrin repeat,PS50088,271,303
A0JP26,IPR002110,Ankyrin repeat,PS50088,304,336
A0JP26,IPR002110,Ankyrin repeat,SM00248,172,201
A0JP26,IPR002110,Ankyrin repeat,SM00248,205,236
A0JP26,IPR002110,Ankyrin repeat,SM00248,238,267
A0JP26,IPR002110,Ankyrin repeat,SM00248,271,300
A0JP26,IPR002110,Ankyrin repeat,SM00248,304,333
A0JP26,IPR002110,Ankyrin repeat,SM00248,337,366
A0PJZ0,IPR002110,Ankyrin repeat,PF00023,132,164
A0PJZ0,IPR002110,Ankyrin repeat,PF12796,38,130
A0PJZ0,IPR002110,Ankyrin repeat,PR01415,67,82
A0PJZ0,IPR002110,Ankyrin repeat,PR01415,115,129
A0PJZ0,IPR002110,Ankyrin repeat,PS50088,66,98
A0PJZ0,IPR002110,Ankyrin repeat,PS50088,99,131
A0PJZ0,IPR002110,Ankyrin repeat,PS50088,132,164
A0PJZ0,IPR002110,Ankyrin repeat,SM00248,66,95
A0PJZ0,IPR002110,Ankyrin repeat,SM00248,99,128
A0PJZ0,IPR002110,Ankyrin repeat,SM00248,132,161
A1A4S6,IPR001452,SH3 domain,PF14604,735,784
A1A4S6,IPR001452,SH3 domain,PS50002,728,786
A1A4S6,IPR001452,SH3 domain,SM00326,731,786
A1A4S6,IPR004148,BAR domain,PF16746,6,249
A1A4S6,IPR036028,SH3-like domain superfamily,SSF50044,730,785
A1IGU5,IPR001452,SH3 domain,PF00018,608,657
A1IGU5,IPR001452,SH3 domain,PF07653,511,565
A1IGU5,IPR001452,SH3 domain,PS50002,506,569
A1IGU5,IPR001452,SH3 domain,PS50002,602,665
A1IGU5,IPR001452,SH3 domain,SM00326,509,568
A1IGU5,IPR001452,SH3 domain,SM00326,605,664
A1IGU5,IPR004148,BAR domain,PS51021,254,455
A1IGU5,IPR004148,BAR domain,SM00721,242,448
A1IGU5,IPR036028,SH3-like domain superfamily,SSF50044,494,568
A1IGU5,IPR036028,SH3-like domain superfamily,SSF50044,592,672
A1KZ92,IPR001007,VWFC domain,PF00093,1399,1450
A1KZ92,IPR001007,VWFC domain,PS01208,1414,1450
A1KZ92,IPR001007,VWFC domain,PS50184,1393,1451
A1KZ92,IPR001007,VWFC domain,SM00214,1395,1450
A1KZ92,IPR001611,Leucine-rich repeat,PF13855,53,110
A1KZ92,IPR001611,Leucine-rich repeat,PF13855,123,182
A1KZ92,IPR001611,Leucine-rich repeat,PS51450,75,96
A1KZ92,IPR001611,Leucine-rich repeat,PS51450,147,168
A1L4K1,IPR003877,SPRY domain,PF00622,622,736
A1L4K1,IPR003877,SPRY domain,SM00449,619,743
A1L4K1,IPR003961,Fibronectin type III,PF00041,378,462
A1L4K1,IPR003961,Fibronectin type III,PS50853,375,470
A1L4K1,IPR003961,Fibronectin type III,PS50853,471,564
A1L4K1,IPR003961,Fibronectin type III,SM00060,372,457
A1L4K1,IPR003961,Fibronectin type III,SM00060,469,551
A1L4K1,IPR003961,Fibronectin type III,cd00063,372,467
A1L4K1,IPR003961,Fibronectin type III,cd00063,469,561
A1L4K1,IPR036116,Fibronectin type III superfamily,SSF49265,371,563
A1X283,IPR001452,SH3 domain,PF00018,161,203
A1X283,IPR001452,SH3 domain,PF00018,228,272
A1X283,IPR001452,SH3 domain,PF00018,377,419
A1X283,IPR001452,SH3 domain,PF07653,855,908
A1X283,IPR001452,SH3 domain,PS50002,152,211
A1X283,IPR001452,SH3 domain,PS50002,221,280
A1X283,IPR001452,SH3 domain,PS50002,368,427
A1X283,IPR001452,SH3 domain,PS50002,850,911
A1X283,IPR001452,SH3 domain,SM00326,155,210
A1X283,IPR001452,SH3 domain,SM00326,224,279
A1X283,IPR001452,SH3 domain,SM00326,371,426
A1X283,IPR001452,SH3 domain,SM00326,853,911
A1X283,IPR036028,SH3-like domain superfamily,SSF50044,150,212
A1X283,IPR036028,SH3-like domain superfamily,SSF50044,220,322
A1X283,IPR036028,SH3-like domain superfamily,SSF50044,361,445
A1X283,IPR036028,SH3-like domain superfamily,SSF50044,852,909
A1YPR0,IPR000210,BTB/POZ domain,PF00651,24,127
A1YPR0,IPR000210,BTB/POZ domain,PS50097,34,101
A1YPR0,IPR000210,BTB/POZ domain,SM00225,34,131
A2A2Z9,IPR002110,Ankyrin repeat,PF12796,38,131
A2A2Z9,IPR002110,Ankyrin repeat,PF12796,138,230
A2A2Z9,IPR002110,Ankyrin repeat,PS50088,67,99
A2A2Z9,IPR002110,Ankyrin repeat,PS50088,100,132
A2A2Z9,IPR002110,Ankyrin repeat,PS50088,133,165
A2A2Z9,IPR002110,Ankyrin repeat,PS50088,166,198
A2A2Z9,IPR002110,Ankyrin repeat,SM00248,67,96
A2A2Z9,IPR002110,Ankyrin repeat,SM00248,100,129
A2A2Z9,IPR002110,Ankyrin repeat,SM00248,133,162
A2A2Z9,IPR002110,Ankyrin repeat,SM00248,166,195
A2A2Z9,IPR002110,Ankyrin repeat,SM00248,199,228
A2A3L6,IPR011990,Tetratricopeptide-like helical domain superfamily,G3DSA:1.25.40.10,31,186
A2A3L6,IPR011990,Tetratricopeptide-like helical domain superfamily,G3DSA:1.25.40.10,187,400
A2A3L6,IPR011990,Tetratricopeptide-like helical domain superfamily,SSF48452,25,152
A2A3L6,IPR011990,Tetratricopeptide-like helical domain superfamily,SSF48452,122,265
A2A3L6,IPR011990,Tetratricopeptide-like helical domain superfamily,SSF48452,217,388
A2A3L6,IPR019734,Tetratricopeptide repeat,PF13176,355,388
A2A3L6,IPR019734,Tetratricopeptide repeat,PS50005,273,306
A2A3L6,IPR019734,Tetratricopeptide repeat,PS50005,353,386
A2A3L6,IPR019734,Tetratricopeptide repeat,SM00028,36,69
A2A3L6,IPR019734,Tetratricopeptide repeat,SM00028,117,150
A2A3L6,IPR019734,Tetratricopeptide repeat,SM00028,154,187
A2A3L6,IPR019734,Tetratricopeptide repeat,SM00028,236,269
A2A3L6,IPR019734,Tetratricopeptide repeat,SM00028,273,306
A2A3L6,IPR019734,Tetratricopeptide repeat,SM00028,313,346
A2A3L6,IPR019734,Tetratricopeptide repeat,SM00028,353,386
A2RRH5,IPR001680,WD40 repeat,PF00400,158,193
A2RRH5,IPR001680,WD40 repeat,PF00400,549,583
A2RRH5,IPR001680,WD40 repeat,PF00400,744,782
A2RRH5,IPR001680,WD40 repeat,PF00400,790,823
A2RRH5,IPR001680,WD40 repeat,PS50082,160,202
A2RRH5,IPR001680,WD40 repeat,PS50082,551,592
A2RRH5,IPR001680,WD40 repeat,PS50082,793,827
A2RRH5,IPR001680,WD40 repeat,SM00320,60,100
A2RRH5,IPR001680,WD40 repeat,SM00320,115,150
A2RRH5,IPR001680,WD40 repeat,SM00320,153,193
A2RRH5,IPR001680,WD40 repeat,SM00320,196,236
A2RRH5,IPR001680,WD40 repeat,SM00320,503,541
A2RRH5,IPR001680,WD40 repeat,SM00320,544,583
A2RRH5,IPR001680,WD40 repeat,SM00320,644,686
A2RRH5,IPR001680,WD40 repeat,SM00320,689,739
A2RRH5,IPR001680,WD40 repeat,SM00320,742,783
A2RRH5,IPR001680,WD40 repeat,SM00320,786,825
A2RRH5,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,16,280
A2RRH5,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,505,593
A2RRH5,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,594,827
A2RRP1,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,87,444
A2RUH7,IPR003961,Fibronectin type III,PF00041,148,234
A2RUH7,IPR003961,Fibronectin type III,PS50853,148,238
A2RUH7,IPR003961,Fibronectin type III,SM00060,146,228
A2RUH7,IPR003961,Fibronectin type III,cd00063,146,235
A2RUH7,IPR036116,Fibronectin type III superfamily,SSF49265,142,234
A2RUS2,IPR001680,WD40 repeat,PF00400,977,1017
A2RUS2,IPR001680,WD40 repeat,SM00320,932,972
A2RUS2,IPR001680,WD40 repeat,SM00320,975,1017
A2RUS2,IPR001680,WD40 repeat,SM00320,1156,1196
A2RUS2,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,903,1198
A2RUS2,IPR036322,WD40-repeat-containing domain superfamily,SSF50978,915,1196
A2VEC9,IPR001007,VWFC domain,PS01208,5006,5044
A2VEC9,IPR001007,VWFC domain,PS50184,1966,2026
A2VEC9,IPR001007,VWFC domain,PS50184,4989,5045
A2VEC9,IPR001007,VWFC domain,SM00214,527,569
A2VEC9,IPR001007,VWFC domain,SM00214,883,939
A2VEC9,IPR001007,VWFC domain,SM00214,1871,1912
A2VEC9,IPR001007,VWFC domain,SM00214,1968,2025
A2VEC9,IPR001007,VWFC domain,SM00214,4121,4177
A2VEC9,IPR001007,VWFC domain,SM00214,4989,5044
A2VEC9,IPR001007,VWFC domain,SM00215,527,592
A2VEC9,IPR001007,VWFC domain,SM00215,977,1045
A2VEC9,IPR001007,VWFC domain,SM00215,1871,1926
A2VEC9,IPR001007,VWFC domain,SM00215,2678,2732
A2VEC9,IPR001007,VWFC domain,SM00215,2948,3002
A2VEC9,IPR001007,VWFC domain,SM00215,3145,3200
A2VEC9,IPR001007,VWFC domain,SM00215,3368,3425
A2VEC9,IPR001007,VWFC domain,SM00215,4121,4177
A2VEC9,IPR001007,VWFC domain,SM00215,4989,5044
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,1376,1412
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,1417,1448
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,1453,1487
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,1492,1529
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,1565,1600
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,2235,2269
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,2391,2426
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PF00057,2465,2499
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PR00261,1388,1409
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PR00261,1427,1448
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PR00261,1463,1484
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PR00261,1576,1597
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PR00261,1615,1636
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PR00261,1665,1686
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,1376,1413
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,1416,1454
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,1452,1488
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,1492,1530
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,1565,1601
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,1603,1642
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,1656,1696
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,2234,2270
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,2391,2427
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,PS50068,2464,2500
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,1376,1414
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,1416,1450
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,1452,1489
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,1492,1531
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,1565,1602
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,1603,1643
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,1656,1697
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,2234,2271
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,2391,2428
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,SM00192,2464,2501
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,1377,1412
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,1417,1448
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,1453,1487
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,1493,1524
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,1566,1600
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,1604,1636
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,2235,2269
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,2392,2426
A2VEC9,IPR002172,Low-density lipoprotein (LDL) receptor class A repeat,cd00112,2465,2499
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,1375,1420
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,1421,1448
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,1450,1487
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,1488,1530
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,1563,1600
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,1601,1641
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,2235,2272
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,2388,2430
A2VEC9,IPR036055,LDL receptor-like superfamily,G3DSA:4.10.400.10,2463,2500
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,1375,1412
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,1416,1453
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,1451,1488
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,1492,1530
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,1562,1600
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,1603,1641
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,1656,1682
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,2232,2270
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,2388,2427
A2VEC9,IPR036055,LDL receptor-like superfamily,SSF57424,2463,2499
A4D1F6,IPR000488,Death domain,PS50017,782,852
A4D1F6,IPR001611,Leucine-rich repeat,PF00560,699,718
A4D1F6,IPR001611,Leucine-rich repeat,PF13855,327,384
A4D1F6,IPR001611,Leucine-rich repeat,PF13855,488,545
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,189,210
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,212,233
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,258,280
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,281,303
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,304,325
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,396,417
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,534,555
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,580,601
A4D1F6,IPR001611,Leucine-rich repeat,PS51450,652,674
A4D1P6,IPR001680,WD40 repeat,PF00400,406,436
A4D1P6,IPR001680,WD40 repeat,PF00400,565,590
A4D1P6,IPR001680,WD40 repeat,PF00400,595,632
A4D1P6,IPR001680,WD40 repeat,PS50082,558,599
A4D1P6,IPR001680,WD40 repeat,PS50082,600,641
A4D1P6,IPR001680,WD40 repeat,SM00320,392,436
A4D1P6,IPR001680,WD40 repeat,SM00320,441,479
A4D1P6,IPR001680,WD40 repeat,SM00320,551,590
A4D1P6,IPR001680,WD40 repeat,SM00320,593,632
A4D1P6,IPR001680,WD40 repeat,SM00320,700,741
A4D1P6,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,400,562
A4D1P6,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,563,746
A4D1P6,IPR036322,WD40-repeat-containing domain superfamily,SSF50978,404,739
A4D2P6,IPR001478,PDZ domain,PF00595,15,73
A4D2P6,IPR001478,PDZ domain,PF00595,280,351
A4D2P6,IPR001478,PDZ domain,PS50106,3,71
A4D2P6,IPR001478,PDZ domain,PS50106,279,356
A4D2P6,IPR001478,PDZ domain,SM00228,15,85
A4D2P6,IPR001478,PDZ domain,SM00228,287,356
A4D2P6,IPR036034,PDZ superfamily,G3DSA:2.30.42.10,6,86
A4D2P6,IPR036034,PDZ superfamily,G3DSA:2.30.42.10,274,356
A4D2P6,IPR036034,PDZ superfamily,SSF50156,11,75
A4D2P6,IPR036034,PDZ superfamily,SSF50156,276,356
A4FU49,IPR001452,SH3 domain,PF07653,69,121
A4FU49,IPR001452,SH3 domain,PR00452,68,78
A4FU49,IPR001452,SH3 domain,PR00452,82,97
A4FU49,IPR001452,SH3 domain,PR00452,101,110
A4FU49,IPR001452,SH3 domain,PR00452,112,124
A4FU49,IPR001452,SH3 domain,PS50002,65,126
A4FU49,IPR001452,SH3 domain,SM00326,68,125
A4FU49,IPR036028,SH3-like domain superfamily,SSF50044,61,137
A5A3E0,IPR002110,Ankyrin repeat,PF12796,143,236
A5A3E0,IPR002110,Ankyrin repeat,PF12796,243,335
A5A3E0,IPR002110,Ankyrin repeat,PS50088,172,204
A5A3E0,IPR002110,Ankyrin repeat,PS50088,238,270
A5A3E0,IPR002110,Ankyrin repeat,PS50088,271,303
A5A3E0,IPR002110,Ankyrin repeat,PS50088,304,336
A5A3E0,IPR002110,Ankyrin repeat,SM00248,172,201
A5A3E0,IPR002110,Ankyrin repeat,SM00248,205,234
A5A3E0,IPR002110,Ankyrin repeat,SM00248,238,267
A5A3E0,IPR002110,Ankyrin repeat,SM00248,271,300
A5A3E0,IPR002110,Ankyrin repeat,SM00248,304,333
A5A3E0,IPR002110,Ankyrin repeat,SM00248,337,366
A5PKW4,IPR001605,"Pleckstrin homology domain, spectrin-type",PR00683,781,802
A5PKW4,IPR001605,"Pleckstrin homology domain, spectrin-type",PR00683,824,841
A5PKW4,IPR001605,"Pleckstrin homology domain, spectrin-type",PR00683,844,862
A5PLL1,IPR002110,Ankyrin repeat,PF12796,65,140
A5PLL1,IPR002110,Ankyrin repeat,PF13637,15,57
A5PLL1,IPR002110,Ankyrin repeat,PS50088,42,82
A5PLL1,IPR002110,Ankyrin repeat,PS50088,83,116
A5PLL1,IPR002110,Ankyrin repeat,SM00248,9,38
A5PLL1,IPR002110,Ankyrin repeat,SM00248,42,79
A5PLL1,IPR002110,Ankyrin repeat,SM00248,83,113
A5PLL1,IPR002110,Ankyrin repeat,SM00248,117,146
A6BM72,IPR011489,EMI domain,PS51041,24,101
A6NC57,IPR002110,Ankyrin repeat,PF12796,88,167
A6NC57,IPR002110,Ankyrin repeat,PF12796,175,263
A6NC57,IPR002110,Ankyrin repeat,PS50088,104,136
A6NC57,IPR002110,Ankyrin repeat,PS50088,137,169
A6NC57,IPR002110,Ankyrin repeat,PS50088,170,202
A6NC57,IPR002110,Ankyrin repeat,PS50088,203,235
A6NC57,IPR002110,Ankyrin repeat,SM00248,71,100
A6NC57,IPR002110,Ankyrin repeat,SM00248,104,133
A6NC57,IPR002110,Ankyrin repeat,SM00248,137,166
A6NC57,IPR002110,Ankyrin repeat,SM00248,170,199
A6NC57,IPR002110,Ankyrin repeat,SM00248,203,232
A6NC78,IPR043937,"Golgin subfamily A , C-terminal binding motif",PF19046,595,632
A6NCC3,IPR043937,"Golgin subfamily A , C-terminal binding motif",PF19046,595,632
A6NCF5,IPR006652,Kelch repeat type 1,PF01344,269,308
A6NCF5,IPR006652,Kelch repeat type 1,SM00612,273,322
A6NCF5,IPR006652,Kelch repeat type 1,SM00612,323,369
A6NCF5,IPR006652,Kelch repeat type 1,SM00612,370,418
A6NCF5,IPR006652,Kelch repeat type 1,SM00612,419,465
A6NCF5,IPR006652,Kelch repeat type 1,SM00612,466,514
A6NCF5,IPR015915,Kelch-type beta-propeller,G3DSA:2.120.10.80,208,523
A6NCF5,IPR015915,Kelch-type beta-propeller,SSF117281,247,511
A6NCK2,IPR003877,SPRY domain,PF00622,336,443
A6NCK2,IPR003877,SPRY domain,SM00449,334,446
A6NCL7,IPR002110,Ankyrin repeat,PF00023,190,220
A6NCL7,IPR002110,Ankyrin repeat,PF12796,90,185
A6NCL7,IPR002110,Ankyrin repeat,PS50088,189,221
A6NCL7,IPR002110,Ankyrin repeat,SM00248,85,113
A6NCL7,IPR002110,Ankyrin repeat,SM00248,120,150
A6NCL7,IPR002110,Ankyrin repeat,SM00248,154,183
A6NCL7,IPR002110,Ankyrin repeat,SM00248,189,218
A6NCL7,IPR002110,Ankyrin repeat,SM00248,223,253
A6NCM1,IPR000048,"IQ motif, EF-hand binding site",PF00612,208,225
A6NCM1,IPR000048,"IQ motif, EF-hand binding site",SM00015,159,181
A6NCM1,IPR000048,"IQ motif, EF-hand binding site",SM00015,205,227
A6NDA9,IPR001611,Leucine-rich repeat,PF00560,152,171
A6NDA9,IPR001611,Leucine-rich repeat,PF13855,60,115
A6NDA9,IPR001611,Leucine-rich repeat,PS51450,128,149
A6NDA9,IPR001611,Leucine-rich repeat,PS51450,152,173
A6NDA9,IPR003961,Fibronectin type III,cd00063,367,430
A6NDI0,IPR003877,SPRY domain,PF00622,340,449
A6NDI0,IPR003877,SPRY domain,SM00449,338,452
A6NDN8,IPR000626,Ubiquitin-like domain,PF00240,35,95
A6NDN8,IPR000626,Ubiquitin-like domain,PS50053,27,99
A6NDN8,IPR000626,Ubiquitin-like domain,SM00213,25,95
A6NE02,IPR000210,BTB/POZ domain,PF00651,53,160
A6NE02,IPR000210,BTB/POZ domain,PS50097,63,132
A6NE02,IPR000210,BTB/POZ domain,SM00225,63,162
A6NE52,IPR001680,WD40 repeat,PF00400,291,319
A6NE52,IPR001680,WD40 repeat,PF00400,326,361
A6NE52,IPR001680,WD40 repeat,PF00400,690,716
A6NE52,IPR001680,WD40 repeat,PS50082,288,320
A6NE52,IPR001680,WD40 repeat,PS50082,329,370
A6NE52,IPR001680,WD40 repeat,SM00320,97,135
A6NE52,IPR001680,WD40 repeat,SM00320,280,320
A6NE52,IPR001680,WD40 repeat,SM00320,322,361
A6NE52,IPR001680,WD40 repeat,SM00320,414,459
A6NE52,IPR001680,WD40 repeat,SM00320,586,624
A6NE52,IPR001680,WD40 repeat,SM00320,677,717
A6NE52,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,86,385
A6NE52,IPR015943,WD40/YVTN repeat-like-containing domain superfamily,G3DSA:2.130.10.10,391,750
A6NE52,IPR036322,WD40-repeat-containing domain superfamily,SSF50978,268,747
A6NEL2,IPR002110,Ankyrin repeat,PF12796,630,701
A6NEL2,IPR002110,Ankyrin repeat,PS50088,669,695
A6NEL2,IPR002110,Ankyrin repeat,SM00248,630,659
A6NEL2,IPR002110,Ankyrin repeat,SM00248,669,699
A6NFN9,IPR000626,Ubiquitin-like domain,PS50053,1,82
A6NFN9,IPR002110,Ankyrin repeat,PF13637,244,294
A6NFN9,IPR002110,Ankyrin repeat,SM00248,191,220
A6NFN9,IPR002110,Ankyrin repeat,SM00248,239,268
A6NFN9,IPR002110,Ankyrin repeat,SM00248,273,303
A6NGE4,IPR001680,WD40 repeat,PF00400,190,224
A6NGE4,IPR001680,WD40 repeat,PF00400,427,465
